Question,Answer,Chapter
Who was the father of Isaiah?, Amoz Isaiah 1:1,1
Bonus Question: For 5 points each list the 4 kings of Judah mentioned in Isaiah chapter 1," Uzziah, Jotham, Ahaz, Hezekiah Isaiah 1:1",1
"According to Isaiah chapter 1, who was Isaiah's vision concerning?", Judah and Jerusalem Isaiah 1:1,1
"In Isaiah chapter 1 God said he nourished and brought up children, how did He say they responded?", They rebelled against Him Isaiah 1:2,1
"In Isaiah chapter 1, to what or whom did God say to give ear?", (O) earth Isaiah 1:2,1
What or who does does the Lord call to hear His complaint against Judah in Isaiah chapter 1?, Heaven and earth – Isaiah 1:2,1
What of his master did Isaiah say the ass knew?, His crib Isaiah 1:3,1
What two animals does the Lord mention as knowing their owner and master?, The ox and the ass – Isaiah 1:3,1
"Isaiah described Judah as a sinful nation, a people laden with iniquity, a seed of evildoers, children that are corrupters. What next did he say about them?", a seed of evildoers Isaiah 1:4,1
"Isaiah described Judah as a sinful nation, a people laden with iniquity, a seed of evildoers. What next did he say about them?", children that are corrupters Isaiah 1:4,1
"After saying that Judah had provoked the Holy One of Israel unto anger, what did the verse next say?", they are gone away backward Isaiah 1:4,1
"Be specific, according to Isaiah chapter 1, who have the people forsaken?", The Lord Isaiah 1:4,1
"What, according to Isaiah chapter 1 have the people done to the Holy One of Israel?", Provoked Him unto anger – Isaiah 1:4,1
"Complete the verse, Why should ye be stricken any more? Ye will revolt more and more"," the whole head is sick, and the whole heart faint Isaiah 1:5",1
"FIB two blanks - From the _____ of the foot even unto the ____ there is no soundness in it, but wounds, and bruises, and putrifying sores, they have not been closed, neither bound up, neither mollified with ointment.","  sole, head  Isaiah 1:6",1
"FIB two blanks - From the sole of the foot even unto the head there is no _____ in it, but wounds, and bruises, and putrifying sores, they have not been closed, neither bound up, neither mollified with _____."," soundness, ointment   Isaiah 1:6",1
"FIB two blanks - From the sole of the foot even unto the head there is no soundness in it, but ____, and bruises, and putrifying ____, they have not been closed, neither bound up, neither mollified with ointment."," wounds, sores   Isaiah 1:6",1
What did Isaiah say that the wounds and bruises of Judah not been mollified with?, ointment Isaiah 1:6,1
What in addition to wounds and bruises did the people of Judah have?, putrifying sores Isaiah 1:6,1
"According to Isaiah chapter 1, who would devour their land in their presence?", strangers Isaiah 1:7,1
