Question,Answer,Chapter
Exodus 1 names the children of Israel which came into what place?,"Egypt, Exodus 1:1",1
How many souls came out of the loins of Jacob to Egypt?,"Seventy, Exodus 1:5",1
"FIB with 1 blank: And ___ died, and all his brethren, and all that generation.","Joseph, Exodus 1:6",1
"What people are described this way: They were fruitful, and increased abundantly","The children of Israel, Exodus 1:7",1
"Bonus for 15: FIB: And the children of Israel were ___, and increased abundantly, and ___, and waxed exceeding ___.","fruitful, multiplied, mighty, Exodus 1:7",1
Exodus describes a new king over Egypt. Who does it say he knew not?,"Joseph, Exodus 1:8",1
"FIB with 1 blank: Behold, the people of the children of Israel are more and ___ than we.","mightier, Exodus 1:9",1
The new king of Egypt feared that the children of Israel would fight them in the event of a war. What else did he fear they would do.,"join unto our enemies, Exodus 1:10",1
"pharaoh said to deal wisely with the children of Israel, lest they do what?","multiply, Exodus 1:10",1
What did taskmasters afflict the children of Israel with?,"burdens, Exodus 1:11",1
Who did the king of Egypt set over the children of Israel to afflict them?,"taskmasters, Exodus 1:11",1
Bonus for 10: What were the two treasure cities that the children of Israel built for pharaoh?,"Pithom and Raamses, Exodus 1:11",1
How were the cities of Pithom and Raamses described in Exodus 1:11?,"Treasure cities, Exodus 1:11",1
"It is said that the more the children of Israel were afflicted, the more what happened?","They multiplied and grew, Exodus 1:12",1
The children of Israel were made to serve the Egyptians with what?,"Rigour, Exodus 1:13",1
Bonus for 15: The children of Israel's lives were made bitter with hard bondage. In what three things were they made to  work?,"In morter, in brick, in all manner of service in the field, Exodus 1:14",1
FIB with one blank: And they made their lives ___ with hard bondage.,"bitter, Exodus 1:14",1
pharaoh spoke to Shiphrah and who else about killing the Hebrew sons?,"Puah, Exodus 1:15",1
Bonus for 10: Name the two Hebrew midwives the king of Egypt spoke to.,"Shiphrah and Puah, Exodus 1:15",1
What were the occupations of Shiphrah and Puah?,"Midwives, Exodus 1:15",1
In what case did pharaoh tell the Hebrew midwives they should let a baby live?,"If it was a daughter, Exodus 1:16",1
What did Pharaoh tell the Hebrew midwives to do to the newborn hebrew sons?,"kill them, Exodus 1:16",1
Who did the Hebrew midwives fear?,"God, Exodus 1:17",1
"Bonus for 10: Who said the following and who was it spoken to: ""Why have ye done this thing, and have saved the men children alive?""","The king of Egypt (pharaoh) to the midwives, Exodus 1:18",1
The midwives told pharaoh that Hebrew women are not like Egyptian women. How did they describe Hebrew women?,"Lively, Exodus 1:19",1
When did the midwives tell Pharaoh Hebrew women delivered their babies?,"ere (before) the midwives come in unto them, Exodus 1:19",1
"Be Specific, God dealt well with the midwives and the people multiplied. How did they wax?","very mighty, Exodus 1:20",1
Why did God make the Hebrew midwives houses?,"because they feared God, Exodus 1:21",1
